record_id,fp_sample_index,category,description
data/13,206,startup_transient,Detected at sample 206 (<1.0s) during filter and adaptive threshold settling
data/13,2252,baseline_wander,Detected at sample 2252 with nearest true beat at 1993 (dist 1036ms)
data/14,80,startup_transient,Detected at sample 80 (<1.0s) during filter and adaptive threshold settling
data/14,2407,baseline_wander,Detected at sample 2407 with nearest true beat at 2234 (dist 692ms)
data/15,182,startup_transient,Detected at sample 182 (<1.0s) during filter and adaptive threshold settling
data/15,2317,baseline_wander,Detected at sample 2317 with nearest true beat at 2082 (dist 940ms)
data/16,113,startup_transient,Detected at sample 113 (<1.0s) during filter and adaptive threshold settling
data/16,2370,baseline_wander,Detected at sample 2370 with nearest true beat at 2158 (dist 848ms)
data/17,3,startup_transient,Detected at sample 3 (<1.0s) during filter and adaptive threshold settling
data/17,181,startup_transient,Detected at sample 181 (<1.0s) during filter and adaptive threshold settling
data/17,2464,baseline_wander,Detected at sample 2464 with nearest true beat at 2264 (dist 800ms)
data/18,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/18,198,startup_transient,Detected at sample 198 (<1.0s) during filter and adaptive threshold settling
data/18,2470,baseline_wander,Detected at sample 2470 with nearest true beat at 2281 (dist 756ms)
data/19,201,startup_transient,Detected at sample 201 (<1.0s) during filter and adaptive threshold settling
data/19,2418,baseline_wander,Detected at sample 2418 with nearest true beat at 2170 (dist 992ms)
data/20,230,startup_transient,Detected at sample 230 (<1.0s) during filter and adaptive threshold settling
data/20,1673,t_wave_misdetection,Occurred 224ms after true R-peak at 1617 (typical T-wave window)
data/20,2311,baseline_wander,Detected at sample 2311 with nearest true beat at 2074 (dist 948ms)
data/21,79,startup_transient,Detected at sample 79 (<1.0s) during filter and adaptive threshold settling
data/21,1365,t_wave_misdetection,Occurred 212ms after true R-peak at 1312 (typical T-wave window)
data/21,1984,t_wave_misdetection,Occurred 224ms after true R-peak at 1928 (typical T-wave window)
data/21,2185,t_wave_misdetection,Occurred 212ms after true R-peak at 2132 (typical T-wave window)
data/21,2337,baseline_wander,Detected at sample 2337 with nearest true beat at 2132 (dist 820ms)
data/22,14,startup_transient,Detected at sample 14 (<1.0s) during filter and adaptive threshold settling
data/22,2363,baseline_wander,Detected at sample 2363 with nearest true beat at 2187 (dist 704ms)
data/23,105,startup_transient,Detected at sample 105 (<1.0s) during filter and adaptive threshold settling
data/23,2391,baseline_wander,Detected at sample 2391 with nearest true beat at 2122 (dist 1076ms)
data/24,21,startup_transient,Detected at sample 21 (<1.0s) during filter and adaptive threshold settling
data/24,90,startup_transient,Detected at sample 90 (<1.0s) during filter and adaptive threshold settling
data/24,400,t_wave_misdetection,Occurred 288ms after true R-peak at 328 (typical T-wave window)
data/24,697,t_wave_misdetection,Occurred 296ms after true R-peak at 623 (typical T-wave window)
data/24,996,cross_window_boundary,Detected at sample 996 near SQI 2-second window boundary 1000
data/24,1005,cross_window_boundary,Detected at sample 1005 near SQI 2-second window boundary 1000
data/24,1299,t_wave_misdetection,Occurred 336ms after true R-peak at 1215 (typical T-wave window)
data/24,1592,t_wave_misdetection,Occurred 324ms after true R-peak at 1511 (typical T-wave window)
data/24,1871,t_wave_misdetection,Occurred 288ms after true R-peak at 1799 (typical T-wave window)
data/24,2184,t_wave_misdetection,Occurred 320ms after true R-peak at 2104 (typical T-wave window)
data/24,2407,baseline_wander,Detected at sample 2407 with nearest true beat at 2104 (dist 1212ms)
data/24,2478,baseline_wander,Detected at sample 2478 with nearest true beat at 2104 (dist 1496ms)
data/25,3,startup_transient,Detected at sample 3 (<1.0s) during filter and adaptive threshold settling
data/25,260,baseline_wander,Detected at sample 260 with nearest true beat at 530 (dist 1080ms)
data/25,2293,baseline_wander,Detected at sample 2293 with nearest true beat at 2023 (dist 1080ms)
data/26,186,startup_transient,Detected at sample 186 (<1.0s) during filter and adaptive threshold settling
data/26,2312,baseline_wander,Detected at sample 2312 with nearest true beat at 2082 (dist 920ms)
data/27,88,startup_transient,Detected at sample 88 (<1.0s) during filter and adaptive threshold settling
data/27,2295,baseline_wander,Detected at sample 2295 with nearest true beat at 2017 (dist 1112ms)
data/28,119,startup_transient,Detected at sample 119 (<1.0s) during filter and adaptive threshold settling
data/28,2408,baseline_wander,Detected at sample 2408 with nearest true beat at 2151 (dist 1028ms)
data/28,2461,baseline_wander,Detected at sample 2461 with nearest true beat at 2151 (dist 1240ms)
data/29,7,startup_transient,Detected at sample 7 (<1.0s) during filter and adaptive threshold settling
data/29,2316,baseline_wander,Detected at sample 2316 with nearest true beat at 2086 (dist 920ms)
data/30,56,startup_transient,Detected at sample 56 (<1.0s) during filter and adaptive threshold settling
data/30,1304,t_wave_misdetection,Occurred 236ms after true R-peak at 1245 (typical T-wave window)
data/30,2459,baseline_wander,Detected at sample 2459 with nearest true beat at 2150 (dist 1236ms)
data/31,88,startup_transient,Detected at sample 88 (<1.0s) during filter and adaptive threshold settling
data/31,2404,baseline_wander,Detected at sample 2404 with nearest true beat at 2170 (dist 936ms)
data/32,92,startup_transient,Detected at sample 92 (<1.0s) during filter and adaptive threshold settling
data/32,2474,baseline_wander,Detected at sample 2474 with nearest true beat at 2238 (dist 944ms)
data/33,128,startup_transient,Detected at sample 128 (<1.0s) during filter and adaptive threshold settling
data/33,2336,baseline_wander,Detected at sample 2336 with nearest true beat at 2097 (dist 956ms)
data/34,3,startup_transient,Detected at sample 3 (<1.0s) during filter and adaptive threshold settling
data/34,110,startup_transient,Detected at sample 110 (<1.0s) during filter and adaptive threshold settling
data/34,704,t_wave_misdetection,Occurred 304ms after true R-peak at 628 (typical T-wave window)
data/34,1197,t_wave_misdetection,Occurred 272ms after true R-peak at 1129 (typical T-wave window)
data/34,1437,t_wave_misdetection,Occurred 232ms after true R-peak at 1379 (typical T-wave window)
data/34,1706,t_wave_misdetection,Occurred 308ms after true R-peak at 1629 (typical T-wave window)
data/34,1933,t_wave_misdetection,Occurred 220ms after true R-peak at 1878 (typical T-wave window)
data/34,2184,t_wave_misdetection,Occurred 220ms after true R-peak at 2129 (typical T-wave window)
data/34,2372,baseline_wander,Detected at sample 2372 with nearest true beat at 2129 (dist 972ms)
data/34,2432,baseline_wander,Detected at sample 2432 with nearest true beat at 2129 (dist 1212ms)
data/35,82,startup_transient,Detected at sample 82 (<1.0s) during filter and adaptive threshold settling
data/35,1758,baseline_wander,Detected at sample 1758 with nearest true beat at 1789 (dist 124ms)
data/35,1850,t_wave_misdetection,Occurred 244ms after true R-peak at 1789 (typical T-wave window)
data/35,1961,t_wave_misdetection,Occurred 268ms after true R-peak at 1894 (typical T-wave window)
data/35,2468,baseline_wander,Detected at sample 2468 with nearest true beat at 2360 (dist 432ms)
data/36,186,startup_transient,Detected at sample 186 (<1.0s) during filter and adaptive threshold settling
data/36,2263,baseline_wander,Detected at sample 2263 with nearest true beat at 2022 (dist 964ms)
data/37,30,startup_transient,Detected at sample 30 (<1.0s) during filter and adaptive threshold settling
data/37,2000,cross_window_boundary,Detected at sample 2000 near SQI 2-second window boundary 2000
data/37,2459,baseline_wander,Detected at sample 2459 with nearest true beat at 2228 (dist 924ms)
data/38,155,startup_transient,Detected at sample 155 (<1.0s) during filter and adaptive threshold settling
data/39,242,startup_transient,Detected at sample 242 (<1.0s) during filter and adaptive threshold settling
data/39,2482,baseline_wander,Detected at sample 2482 with nearest true beat at 2202 (dist 1120ms)
data/40,91,startup_transient,Detected at sample 91 (<1.0s) during filter and adaptive threshold settling
data/40,2394,baseline_wander,Detected at sample 2394 with nearest true beat at 2149 (dist 980ms)
data/41,64,startup_transient,Detected at sample 64 (<1.0s) during filter and adaptive threshold settling
data/41,2204,baseline_wander,Detected at sample 2204 with nearest true beat at 1895 (dist 1236ms)
data/42,28,startup_transient,Detected at sample 28 (<1.0s) during filter and adaptive threshold settling
data/42,2408,baseline_wander,Detected at sample 2408 with nearest true beat at 2140 (dist 1072ms)
data/43,98,startup_transient,Detected at sample 98 (<1.0s) during filter and adaptive threshold settling
data/43,2322,baseline_wander,Detected at sample 2322 with nearest true beat at 2071 (dist 1004ms)
data/44,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/44,142,startup_transient,Detected at sample 142 (<1.0s) during filter and adaptive threshold settling
data/44,199,startup_transient,Detected at sample 199 (<1.0s) during filter and adaptive threshold settling
data/44,448,t_wave_misdetection,Occurred 208ms after true R-peak at 396 (typical T-wave window)
data/44,694,t_wave_misdetection,Occurred 220ms after true R-peak at 639 (typical T-wave window)
data/44,880,t_wave_misdetection,Occurred 224ms after true R-peak at 824 (typical T-wave window)
data/44,1067,t_wave_misdetection,Occurred 228ms after true R-peak at 1010 (typical T-wave window)
data/44,1304,t_wave_misdetection,Occurred 220ms after true R-peak at 1249 (typical T-wave window)
data/44,1485,t_wave_misdetection,Occurred 224ms after true R-peak at 1429 (typical T-wave window)
data/44,1770,t_wave_misdetection,Occurred 216ms after true R-peak at 1716 (typical T-wave window)
data/44,2041,t_wave_misdetection,Occurred 224ms after true R-peak at 1985 (typical T-wave window)
data/44,2250,t_wave_misdetection,Occurred 220ms after true R-peak at 2195 (typical T-wave window)
data/44,2385,baseline_wander,Detected at sample 2385 with nearest true beat at 2195 (dist 760ms)
data/44,2442,baseline_wander,Detected at sample 2442 with nearest true beat at 2195 (dist 988ms)
data/45,3,startup_transient,Detected at sample 3 (<1.0s) during filter and adaptive threshold settling
data/45,72,startup_transient,Detected at sample 72 (<1.0s) during filter and adaptive threshold settling
data/45,138,startup_transient,Detected at sample 138 (<1.0s) during filter and adaptive threshold settling
data/45,253,baseline_wander,Detected at sample 253 with nearest true beat at 308 (dist 220ms)
data/45,389,t_wave_misdetection,Occurred 324ms after true R-peak at 308 (typical T-wave window)
data/45,527,t_wave_misdetection,Occurred 244ms after true R-peak at 466 (typical T-wave window)
data/45,716,baseline_wander,Detected at sample 716 with nearest true beat at 773 (dist 228ms)
data/45,966,baseline_wander,Detected at sample 966 with nearest true beat at 1022 (dist 224ms)
data/45,1104,t_wave_misdetection,Occurred 328ms after true R-peak at 1022 (typical T-wave window)
data/45,1216,baseline_wander,Detected at sample 1216 with nearest true beat at 1272 (dist 224ms)
data/45,1354,t_wave_misdetection,Occurred 328ms after true R-peak at 1272 (typical T-wave window)
data/45,1467,baseline_wander,Detected at sample 1467 with nearest true beat at 1522 (dist 220ms)
data/45,1605,t_wave_misdetection,Occurred 332ms after true R-peak at 1522 (typical T-wave window)
data/45,1717,baseline_wander,Detected at sample 1717 with nearest true beat at 1773 (dist 224ms)
data/45,1845,t_wave_misdetection,Occurred 288ms after true R-peak at 1773 (typical T-wave window)
data/45,1966,baseline_wander,Detected at sample 1966 with nearest true beat at 2021 (dist 220ms)
data/45,2101,t_wave_misdetection,Occurred 320ms after true R-peak at 2021 (typical T-wave window)
data/45,2215,baseline_wander,Detected at sample 2215 with nearest true beat at 2021 (dist 776ms)
data/45,2288,baseline_wander,Detected at sample 2288 with nearest true beat at 2021 (dist 1068ms)
data/45,2353,baseline_wander,Detected at sample 2353 with nearest true beat at 2021 (dist 1328ms)
data/46,182,startup_transient,Detected at sample 182 (<1.0s) during filter and adaptive threshold settling
data/46,237,startup_transient,Detected at sample 237 (<1.0s) during filter and adaptive threshold settling
data/46,956,t_wave_misdetection,Occurred 224ms after true R-peak at 900 (typical T-wave window)
data/46,1676,t_wave_misdetection,Occurred 220ms after true R-peak at 1621 (typical T-wave window)
data/46,2327,baseline_wander,Detected at sample 2327 with nearest true beat at 2089 (dist 952ms)
data/47,143,startup_transient,Detected at sample 143 (<1.0s) during filter and adaptive threshold settling
data/47,2360,baseline_wander,Detected at sample 2360 with nearest true beat at 2043 (dist 1268ms)
data/48,2,startup_transient,Detected at sample 2 (<1.0s) during filter and adaptive threshold settling
data/48,232,startup_transient,Detected at sample 232 (<1.0s) during filter and adaptive threshold settling
data/48,997,cross_window_boundary,Detected at sample 997 near SQI 2-second window boundary 1000
data/48,2289,baseline_wander,Detected at sample 2289 with nearest true beat at 2038 (dist 1004ms)
data/49,175,startup_transient,Detected at sample 175 (<1.0s) during filter and adaptive threshold settling
data/49,2382,baseline_wander,Detected at sample 2382 with nearest true beat at 2103 (dist 1116ms)
data/50,148,startup_transient,Detected at sample 148 (<1.0s) during filter and adaptive threshold settling
data/50,2298,baseline_wander,Detected at sample 2298 with nearest true beat at 2084 (dist 856ms)
data/51,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/51,275,baseline_wander,Detected at sample 275 with nearest true beat at 445 (dist 680ms)
data/51,333,baseline_wander,Detected at sample 333 with nearest true beat at 445 (dist 448ms)
data/51,506,cross_window_boundary,Detected at sample 506 near SQI 2-second window boundary 500
data/51,788,t_wave_misdetection,Occurred 264ms after true R-peak at 722 (typical T-wave window)
data/51,1002,cross_window_boundary,Detected at sample 1002 near SQI 2-second window boundary 1000
data/51,1183,t_wave_misdetection,Occurred 256ms after true R-peak at 1119 (typical T-wave window)
data/51,1544,t_wave_misdetection,Occurred 248ms after true R-peak at 1482 (typical T-wave window)
data/51,1672,t_wave_misdetection,Occurred 240ms after true R-peak at 1612 (typical T-wave window)
data/51,2085,t_wave_misdetection,Occurred 252ms after true R-peak at 2022 (typical T-wave window)
data/51,2292,t_wave_misdetection,Occurred 256ms after true R-peak at 2228 (typical T-wave window)
data/51,2434,baseline_wander,Detected at sample 2434 with nearest true beat at 2228 (dist 824ms)
data/51,2492,baseline_wander,Detected at sample 2492 with nearest true beat at 2228 (dist 1056ms)
data/52,37,startup_transient,Detected at sample 37 (<1.0s) during filter and adaptive threshold settling
data/52,1457,t_wave_misdetection,Occurred 240ms after true R-peak at 1397 (typical T-wave window)
data/52,2272,baseline_wander,Detected at sample 2272 with nearest true beat at 2059 (dist 852ms)
data/53,49,startup_transient,Detected at sample 49 (<1.0s) during filter and adaptive threshold settling
data/53,1500,cross_window_boundary,Detected at sample 1500 near SQI 2-second window boundary 1500
data/53,2446,baseline_wander,Detected at sample 2446 with nearest true beat at 2206 (dist 960ms)
data/54,11,startup_transient,Detected at sample 11 (<1.0s) during filter and adaptive threshold settling
data/54,2235,baseline_wander,Detected at sample 2235 with nearest true beat at 1956 (dist 1116ms)
data/55,3,startup_transient,Detected at sample 3 (<1.0s) during filter and adaptive threshold settling
data/55,177,startup_transient,Detected at sample 177 (<1.0s) during filter and adaptive threshold settling
data/55,2369,baseline_wander,Detected at sample 2369 with nearest true beat at 2124 (dist 980ms)
data/56,204,startup_transient,Detected at sample 204 (<1.0s) during filter and adaptive threshold settling
data/56,2441,baseline_wander,Detected at sample 2441 with nearest true beat at 2238 (dist 812ms)
data/57,35,startup_transient,Detected at sample 35 (<1.0s) during filter and adaptive threshold settling
data/57,2437,baseline_wander,Detected at sample 2437 with nearest true beat at 2257 (dist 720ms)
data/58,102,startup_transient,Detected at sample 102 (<1.0s) during filter and adaptive threshold settling
data/58,2479,baseline_wander,Detected at sample 2479 with nearest true beat at 2237 (dist 968ms)
data/59,277,baseline_wander,Detected at sample 277 with nearest true beat at 562 (dist 1140ms)
data/59,332,baseline_wander,Detected at sample 332 with nearest true beat at 562 (dist 920ms)
data/59,622,t_wave_misdetection,Occurred 240ms after true R-peak at 562 (typical T-wave window)
data/59,911,t_wave_misdetection,Occurred 248ms after true R-peak at 849 (typical T-wave window)
data/59,1191,t_wave_misdetection,Occurred 248ms after true R-peak at 1129 (typical T-wave window)
data/59,1469,t_wave_misdetection,Occurred 244ms after true R-peak at 1408 (typical T-wave window)
data/59,1739,t_wave_misdetection,Occurred 228ms after true R-peak at 1682 (typical T-wave window)
data/59,2022,t_wave_misdetection,Occurred 264ms after true R-peak at 1956 (typical T-wave window)
data/59,2238,baseline_wander,Detected at sample 2238 with nearest true beat at 1956 (dist 1128ms)
data/59,2292,baseline_wander,Detected at sample 2292 with nearest true beat at 1956 (dist 1344ms)
data/60,23,startup_transient,Detected at sample 23 (<1.0s) during filter and adaptive threshold settling
data/60,2318,baseline_wander,Detected at sample 2318 with nearest true beat at 2065 (dist 1012ms)
data/61,106,startup_transient,Detected at sample 106 (<1.0s) during filter and adaptive threshold settling
data/61,2255,baseline_wander,Detected at sample 2255 with nearest true beat at 2012 (dist 972ms)
data/61,2497,baseline_wander,Detected at sample 2497 with nearest true beat at 2012 (dist 1940ms)
data/62,199,startup_transient,Detected at sample 199 (<1.0s) during filter and adaptive threshold settling
data/62,2354,baseline_wander,Detected at sample 2354 with nearest true beat at 2138 (dist 864ms)
data/63,139,startup_transient,Detected at sample 139 (<1.0s) during filter and adaptive threshold settling
data/63,2439,baseline_wander,Detected at sample 2439 with nearest true beat at 2197 (dist 968ms)
data/64,97,startup_transient,Detected at sample 97 (<1.0s) during filter and adaptive threshold settling
data/64,167,startup_transient,Detected at sample 167 (<1.0s) during filter and adaptive threshold settling
data/64,414,t_wave_misdetection,Occurred 292ms after true R-peak at 341 (typical T-wave window)
data/64,646,t_wave_misdetection,Occurred 280ms after true R-peak at 576 (typical T-wave window)
data/64,879,t_wave_misdetection,Occurred 296ms after true R-peak at 805 (typical T-wave window)
data/64,1101,t_wave_misdetection,Occurred 284ms after true R-peak at 1030 (typical T-wave window)
data/64,1318,t_wave_misdetection,Occurred 284ms after true R-peak at 1247 (typical T-wave window)
data/64,1526,t_wave_misdetection,Occurred 284ms after true R-peak at 1455 (typical T-wave window)
data/64,1744,t_wave_misdetection,Occurred 288ms after true R-peak at 1672 (typical T-wave window)
data/64,1969,t_wave_misdetection,Occurred 284ms after true R-peak at 1898 (typical T-wave window)
data/64,2209,t_wave_misdetection,Occurred 288ms after true R-peak at 2137 (typical T-wave window)
data/64,2390,baseline_wander,Detected at sample 2390 with nearest true beat at 2137 (dist 1012ms)
data/64,2460,baseline_wander,Detected at sample 2460 with nearest true beat at 2137 (dist 1292ms)
data/65,90,startup_transient,Detected at sample 90 (<1.0s) during filter and adaptive threshold settling
data/65,2352,baseline_wander,Detected at sample 2352 with nearest true beat at 2177 (dist 700ms)
data/66,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/66,163,startup_transient,Detected at sample 163 (<1.0s) during filter and adaptive threshold settling
data/66,2300,baseline_wander,Detected at sample 2300 with nearest true beat at 1989 (dist 1244ms)
data/67,181,startup_transient,Detected at sample 181 (<1.0s) during filter and adaptive threshold settling
data/67,2293,baseline_wander,Detected at sample 2293 with nearest true beat at 2027 (dist 1064ms)
data/68,33,startup_transient,Detected at sample 33 (<1.0s) during filter and adaptive threshold settling
data/68,2335,baseline_wander,Detected at sample 2335 with nearest true beat at 2111 (dist 896ms)
data/69,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/69,184,startup_transient,Detected at sample 184 (<1.0s) during filter and adaptive threshold settling
data/69,2469,baseline_wander,Detected at sample 2469 with nearest true beat at 2281 (dist 752ms)
data/70,13,startup_transient,Detected at sample 13 (<1.0s) during filter and adaptive threshold settling
data/70,2348,baseline_wander,Detected at sample 2348 with nearest true beat at 2171 (dist 708ms)
data/71,21,startup_transient,Detected at sample 21 (<1.0s) during filter and adaptive threshold settling
data/71,2374,baseline_wander,Detected at sample 2374 with nearest true beat at 2113 (dist 1044ms)
data/72,3,startup_transient,Detected at sample 3 (<1.0s) during filter and adaptive threshold settling
data/72,153,startup_transient,Detected at sample 153 (<1.0s) during filter and adaptive threshold settling
data/72,607,baseline_wander,Detected at sample 607 with nearest true beat at 663 (dist 224ms)
data/72,857,baseline_wander,Detected at sample 857 with nearest true beat at 914 (dist 228ms)
data/72,1107,baseline_wander,Detected at sample 1107 with nearest true beat at 1163 (dist 224ms)
data/72,1357,baseline_wander,Detected at sample 1357 with nearest true beat at 1415 (dist 232ms)
data/72,1782,baseline_wander,Detected at sample 1782 with nearest true beat at 1840 (dist 232ms)
data/72,2029,baseline_wander,Detected at sample 2029 with nearest true beat at 2088 (dist 236ms)
data/72,2276,baseline_wander,Detected at sample 2276 with nearest true beat at 2088 (dist 752ms)
data/72,2343,baseline_wander,Detected at sample 2343 with nearest true beat at 2088 (dist 1020ms)
data/73,157,startup_transient,Detected at sample 157 (<1.0s) during filter and adaptive threshold settling
data/73,2452,baseline_wander,Detected at sample 2452 with nearest true beat at 2200 (dist 1008ms)
data/74,4,startup_transient,Detected at sample 4 (<1.0s) during filter and adaptive threshold settling
data/74,65,startup_transient,Detected at sample 65 (<1.0s) during filter and adaptive threshold settling
data/74,1383,t_wave_misdetection,Occurred 260ms after true R-peak at 1318 (typical T-wave window)
data/74,1649,t_wave_misdetection,Occurred 324ms after true R-peak at 1568 (typical T-wave window)
data/74,2124,t_wave_misdetection,Occurred 228ms after true R-peak at 2067 (typical T-wave window)
data/74,2375,t_wave_misdetection,Occurred 232ms after true R-peak at 2317 (typical T-wave window)
data/75,54,startup_transient,Detected at sample 54 (<1.0s) during filter and adaptive threshold settling
data/75,2467,baseline_wander,Detected at sample 2467 with nearest true beat at 2225 (dist 968ms)
data/76,5,startup_transient,Detected at sample 5 (<1.0s) during filter and adaptive threshold settling
data/76,133,startup_transient,Detected at sample 133 (<1.0s) during filter and adaptive threshold settling
data/77,165,startup_transient,Detected at sample 165 (<1.0s) during filter and adaptive threshold settling
data/77,2362,baseline_wander,Detected at sample 2362 with nearest true beat at 2162 (dist 800ms)
data/78,128,startup_transient,Detected at sample 128 (<1.0s) during filter and adaptive threshold settling
data/78,2278,baseline_wander,Detected at sample 2278 with nearest true beat at 2035 (dist 972ms)
data/79,39,startup_transient,Detected at sample 39 (<1.0s) during filter and adaptive threshold settling
data/79,2426,baseline_wander,Detected at sample 2426 with nearest true beat at 2157 (dist 1076ms)
data/80,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/80,2000,cross_window_boundary,Detected at sample 2000 near SQI 2-second window boundary 2000
data/80,2400,baseline_wander,Detected at sample 2400 with nearest true beat at 2201 (dist 796ms)
data/81,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/81,109,startup_transient,Detected at sample 109 (<1.0s) during filter and adaptive threshold settling
data/82,147,startup_transient,Detected at sample 147 (<1.0s) during filter and adaptive threshold settling
data/82,2483,baseline_wander,Detected at sample 2483 with nearest true beat at 2198 (dist 1140ms)
data/83,69,startup_transient,Detected at sample 69 (<1.0s) during filter and adaptive threshold settling
data/83,247,startup_transient,Detected at sample 247 (<1.0s) during filter and adaptive threshold settling
data/83,407,t_wave_misdetection,Occurred 252ms after true R-peak at 344 (typical T-wave window)
data/83,1135,t_wave_misdetection,Occurred 212ms after true R-peak at 1082 (typical T-wave window)
data/83,1370,t_wave_misdetection,Occurred 264ms after true R-peak at 1304 (typical T-wave window)
data/83,2125,t_wave_misdetection,Occurred 244ms after true R-peak at 2064 (typical T-wave window)
data/83,2480,baseline_wander,Detected at sample 2480 with nearest true beat at 2295 (dist 740ms)
data/84,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/84,115,startup_transient,Detected at sample 115 (<1.0s) during filter and adaptive threshold settling
data/84,923,t_wave_misdetection,Occurred 236ms after true R-peak at 864 (typical T-wave window)
data/84,2366,baseline_wander,Detected at sample 2366 with nearest true beat at 2114 (dist 1008ms)
data/85,160,startup_transient,Detected at sample 160 (<1.0s) during filter and adaptive threshold settling
data/85,2372,baseline_wander,Detected at sample 2372 with nearest true beat at 2167 (dist 820ms)
data/86,3,startup_transient,Detected at sample 3 (<1.0s) during filter and adaptive threshold settling
data/86,144,startup_transient,Detected at sample 144 (<1.0s) during filter and adaptive threshold settling
data/86,2339,baseline_wander,Detected at sample 2339 with nearest true beat at 2167 (dist 688ms)
data/87,159,startup_transient,Detected at sample 159 (<1.0s) during filter and adaptive threshold settling
data/87,2374,baseline_wander,Detected at sample 2374 with nearest true beat at 2204 (dist 680ms)
data/88,4,startup_transient,Detected at sample 4 (<1.0s) during filter and adaptive threshold settling
data/88,145,startup_transient,Detected at sample 145 (<1.0s) during filter and adaptive threshold settling
data/88,2356,baseline_wander,Detected at sample 2356 with nearest true beat at 2149 (dist 828ms)
data/89,175,startup_transient,Detected at sample 175 (<1.0s) during filter and adaptive threshold settling
data/89,2477,baseline_wander,Detected at sample 2477 with nearest true beat at 2276 (dist 804ms)
data/90,5,startup_transient,Detected at sample 5 (<1.0s) during filter and adaptive threshold settling
