record_id,status,QFN,QFP,float_fixed_mismatch_count,reason
data/95,evaluated,0,1,16,QRS miss/false-positive or float/fixed mismatch
data/96,evaluated,0,2,16,QRS miss/false-positive or float/fixed mismatch
data/97,evaluated,0,2,2,QRS miss/false-positive or float/fixed mismatch
data/98,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/99,evaluated,0,1,14,QRS miss/false-positive or float/fixed mismatch
data/100,evaluated,0,2,12,QRS miss/false-positive or float/fixed mismatch
data/101,evaluated,0,2,6,QRS miss/false-positive or float/fixed mismatch
data/102,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/103,evaluated,0,4,28,QRS miss/false-positive or float/fixed mismatch
data/104,evaluated,0,2,18,QRS miss/false-positive or float/fixed mismatch
data/105,evaluated,0,1,14,QRS miss/false-positive or float/fixed mismatch
data/106,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/107,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/108,evaluated,0,2,3,QRS miss/false-positive or float/fixed mismatch
data/109,evaluated,0,0,17,QRS miss/false-positive or float/fixed mismatch
data/110,evaluated,0,0,17,QRS miss/false-positive or float/fixed mismatch
data/111,evaluated,0,3,21,QRS miss/false-positive or float/fixed mismatch
data/112,evaluated,0,0,16,QRS miss/false-positive or float/fixed mismatch
data/113,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/114,evaluated,0,1,15,QRS miss/false-positive or float/fixed mismatch
data/115,evaluated,0,2,10,QRS miss/false-positive or float/fixed mismatch
data/116,evaluated,0,1,30,QRS miss/false-positive or float/fixed mismatch
data/117,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/118,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/119,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/120,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/121,evaluated,0,0,28,QRS miss/false-positive or float/fixed mismatch
data/122,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/123,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/124,evaluated,0,2,10,QRS miss/false-positive or float/fixed mismatch
data/125,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/126,evaluated,0,2,14,QRS miss/false-positive or float/fixed mismatch
data/127,evaluated,0,2,9,QRS miss/false-positive or float/fixed mismatch
data/128,evaluated,0,2,10,QRS miss/false-positive or float/fixed mismatch
data/129,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/130,evaluated,0,2,8,QRS miss/false-positive or float/fixed mismatch
data/131,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/132,evaluated,0,2,2,QRS miss/false-positive or float/fixed mismatch
data/133,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/134,evaluated,0,2,9,QRS miss/false-positive or float/fixed mismatch
data/135,evaluated,0,2,12,QRS miss/false-positive or float/fixed mismatch
data/136,evaluated,0,1,15,QRS miss/false-positive or float/fixed mismatch
data/137,evaluated,0,1,2,QRS miss/false-positive or float/fixed mismatch
data/138,evaluated,0,2,4,QRS miss/false-positive or float/fixed mismatch
data/139,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/140,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/141,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/142,evaluated,0,1,13,QRS miss/false-positive or float/fixed mismatch
data/143,evaluated,0,1,14,QRS miss/false-positive or float/fixed mismatch
data/144,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/145,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/146,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/147,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/148,evaluated,0,1,2,QRS miss/false-positive or float/fixed mismatch
data/149,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/150,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/151,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/152,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/153,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/154,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/155,evaluated,0,2,2,QRS miss/false-positive or float/fixed mismatch
data/156,evaluated,0,2,10,QRS miss/false-positive or float/fixed mismatch
data/157,evaluated,0,2,10,QRS miss/false-positive or float/fixed mismatch
data/158,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/159,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/160,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/161,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/162,evaluated,0,2,4,QRS miss/false-positive or float/fixed mismatch
data/163,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/164,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/165,evaluated,0,2,12,QRS miss/false-positive or float/fixed mismatch
data/166,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/167,evaluated,0,2,12,QRS miss/false-positive or float/fixed mismatch
data/168,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/169,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/170,evaluated,0,1,9,QRS miss/false-positive or float/fixed mismatch
data/171,evaluated,0,2,12,QRS miss/false-positive or float/fixed mismatch
data/172,evaluated,0,2,10,QRS miss/false-positive or float/fixed mismatch
data/173,evaluated,0,1,15,QRS miss/false-positive or float/fixed mismatch
data/174,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/175,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/176,evaluated,0,2,5,QRS miss/false-positive or float/fixed mismatch
data/177,evaluated,0,1,13,QRS miss/false-positive or float/fixed mismatch
data/178,evaluated,0,1,1,QRS miss/false-positive or float/fixed mismatch
data/179,evaluated,0,2,2,QRS miss/false-positive or float/fixed mismatch
data/180,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/181,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/182,evaluated,0,2,3,QRS miss/false-positive or float/fixed mismatch
data/183,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/184,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/185,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/186,evaluated,0,1,2,QRS miss/false-positive or float/fixed mismatch
data/187,evaluated,0,1,12,QRS miss/false-positive or float/fixed mismatch
data/188,evaluated,0,0,16,QRS miss/false-positive or float/fixed mismatch
data/189,evaluated,0,1,4,QRS miss/false-positive or float/fixed mismatch
data/190,evaluated,0,1,15,QRS miss/false-positive or float/fixed mismatch
data/191,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/192,evaluated,0,1,3,QRS miss/false-positive or float/fixed mismatch
data/193,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/194,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/195,evaluated,0,1,12,QRS miss/false-positive or float/fixed mismatch
data/196,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/197,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/198,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/199,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/200,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
